English,Hindi,English Word Count,Hindi Word Count
"And believe in what I have sent down confirming that which is [already] with you, and be not the first to disbelieve in it. And do not exchange My signs for a small price, and fear [only] Me.",और जो (कुरान) मैंने नाज़िल किया वह उस किताब (तौरेत) की (भी) तसदीक़ करता हूँ जो तुम्हारे पास है और तुम सबसे चले उसके इन्कार पर मौजूद न हो जाओ और मेरी आयतों के बदले थोड़ी क़ीमत (दुनयावी फायदा) न लो और मुझ ही से डरते रहो,38,47
"""Thereupon Moses said: 'O Lord! Grant forgiveness upon me and my brother and admit us to Your Mercy, for You are most merciful of the merciful.'","""उसने कहा, """"मेरे रब! मुझे और मेरे भाई को क्षमा कर दे और हमें अपनी दयालुता में दाख़िल कर ले। तू तो सबसे बढ़कर दयावान हैं।""""""",26,26
We have to be on guard.,हमें अपनी तैयार रखनी है।,6,5
It's not illegal.,यह गैरकानूनी भी नहीं है।,3,5
Police Constable (Civil,पुलिस कांस्टेबल (सिविल,3,3
"""The police have registered a case against Amarjit, the husband of the victim, his father Sukhdev Singh and his mother and sister, on the charges of abetment to suicide.","पुलिस ने मृतका के पति अमरजीत सिंह, सास -ससुर और ननद के खिलाफ मामला दर्ज कर लिया है।",29,18
"And taking this Latin thing, this hymn thing.",'अन्टू द लास्ट' का अर्थ है - इस अंतवाले को भी।,8,11
"""The police has also recovered Rs 11.58 lakh from the stolen amount.","पुलिस शिकायत पर 5,61,286 रुपए की धांधली के आरोप में मामला भी दर्ज कर लिया।",12,15
Prakash is a known name in the southern film industry.,प्रकाश दक्षिण भारतीय फिल्म उद्योग में जाने-माने नाम हैं.,10,9
"""""""Rail and Two Cities: Railway history that began in the 19th century"""".""","""2000 का विषय """"प्रौद्योगिकी और प्रकृति: इक्कीसवीं सदी के प्रारंभ में पर्यटन के लिए दो चुनौतियॉं"""" था।""",12,17
"Historically, the member peoples of the Confederacy were nomadic bison hunters and trout fishermen, who ranged across large areas of the northern Great Plains of western North America, specifically the semi-arid shortgrass prairie ecological region.",ऐतिहासिक तौर पर समुदाय के सदस्य जंगली भैंसे का शिकार करने वाले आदिवासी लोग थे जो पश्चिमी उत्तर अमेरिका के विशाल मैदानों के उत्तरी क्षेत्रों से कनाडा की ओर आये थे।,35,31
Top officials are closely monitoring the situation and also working in close coordination with the West Bengal government.,शीर्ष अधिकारी स्थिति पर करीब से नज़र बनाए रखने के साथ पश्चिम बंगाल सरकार के साथ समन्वय बिठाकर काम कर रहे हैं.,18,22
A search operation is currently underway in the area.,घटनास्थल पर फिलहाल सर्च अभियान जारी है.,9,7
"State BJP spokesman Rajnish Agrawal, while laughing at the allegation, remarked, I have heard in social media that he is not in his senses while delivering speech.","राज्य भाजपा के प्रवक्ता रजनीश अग्रवाल ने आरोपों पर हंसते हुए कहा, ‘मैंने सोशल मीडिया में सुना है कि भाषण देते समय उनका दिमाग काम नहीं करता है. झाबुआ में भाषण साबित करता है कि मानसिक रूप से वह अपरिपक्व हैं और आधारहीन आरोप लगा रहे हैं.’",27,47
y 's that are below the first line.,y 's कि पहली रेखा से नीचे हैं।,8,8
"Voters did not like the BJP inducting leaders from opposition parties into its fold ahead of the elections, Pawar said.","पवार ने कहा, ‘मतदाताओं ने चुनाव से पहले भाजपा द्वारा विपक्षी दलों के नेताओं को शामिल किये जाने को पसंद नहीं किया.",20,22
Not us- we\'re working out.,"हम नहीं हैं, क्योंकि हम तो वर्कआउट कर रहे हैं।",5,10
"""She apologized after discovering that the concert was sponsored by the firm and asked for """"corrective actions"""".""","""इसका पता चलने पर कि कॉन्सर्ट को किसी फर्म के द्वारा संचालित किया जा रहा है, के लिए उन्होंने माफी मांगी उसके साथ """"अपेक्षित कार्यवाही"""" करने की मांग की।""",17,29
New Delhi: India on Tuesday summoned Iranian Ambassador Ali Chegeni and lodged a strong protest with him over the comments made by Irans foreign minister Javad Zarif over violence in Delhi,"""वहीं, दिल्ली हिंसा के बारे में ईरान के विदेश मंत्री जवाद जरीफ द्वारा की गई टिप्पणी पर कड़ा विरोध जताते हुए भारत ने मंगलवार को ईरान के राजदूत अली चेगेनी को तलब किया",31,33
"Generally BCCIs affiliated associations do not depend on funds released from the board, they (associations) bear the expense and the reimbursement process is a day-to-day procedure, Shah added.","शाह ने कहा, ‘सामान्यत: बीसीसीआई की मान्यता प्राप्त इकाइयां बोर्ड से जारी होने पर कोष पर निर्भर नहीं होती, वे (संघ) खर्चा उठाते हैं और उसके बाद भरपाई की प्रक्रिया चलती है।",28,32
Observers are put on deputation with ECI for the entire duration of the Election Process till end of October 2019.,उपनिर्वाचन आयुक्त श्री सुदीप जैन ने पर्यवेक्षकों को ईवीएम-वीवीपीएटी प्रोटोकाल के बारे में जानकारी दी।,20,15
"Modi said the visit by the Iranian president shows how the two sides want to deepen cooperation in key areas, including connectivity.",’’ रूहानी के साथ एक संयुक्त प्रेस कॉन्फ्रेंस को संबोधित करते हुए मोदी ने कहा कि ईरानी राष्ट्रपति की यात्रा दिखाती है कि दोनों देश कैसे संपर्क सहित प्रमुख क्षेत्रों में अपने सहयोग को मजबूत बनाना चाहते हैं।,22,38
She also won the gold medal for India at the Commonwealth Games.,"""वह खेलो इंडिया में भी रजत पदक जीत चुकी है।",12,10
He explained why.,उन्होंने इसकी वजह भी बताई।,3,5
Advocate and BJP leader Ashwini Upadhyay filed the PIL for urgent hearing.,भाजपा नेता और वरिष्ठ अधिवक्ता अश्विनी उपाध्याय ने इसके बाद सुप्रीम कोर्ट में एक अवमानना याचिका दाखिल की थी.,12,19
"""""""If you cant physically open your store or restaurant, you can still take orders online and ship them to people.""","उन्होंने कहा, ‘यदि आप अपने स्टोर या रेस्तरां को शारीरिक रूप से नहीं खोल सकते हैं, तो आप अभी भी ऑनलाइन ऑर्डर ले सकते हैं और उन्हें लोगों को भेज सकते हैं।",20,32
"""The Centre sought a report from the Uttar Pradesh government on the incident while Union home minister Rajnath Singh spoke to Yadav and assured the state government of all necessary help.",केंद्र ने उत्तर प्रदेश सरकार से घटना पर रिपोर्ट मांगी है तथा केंद्रीय गृहमंत्री राजनाथ सिंह ने मुख्यमंत्री से बात की और उन्हें सभी आवश्यक मदद मुहैया कराने का आश्वासन दिया।,31,31
"Accordingly, the application for leave to defend was dismissed and order of eviction passed","तदनुसार, प्रतिवाद करने की अनुमति के लिए आवेदन को ख़ारिज कर दिया गया और बेदखली का आदेश पारित कर दिया गया.",14,21
"He petitioned: May you yourself listen from the heavens, your established place of dwelling, and you must do according to all that for which the foreigner calls to you. in order that all the peoples of the earth may get to know your name.","सुलैमान ने यरूशलेम में उपासना करने के लिए आनेवाले गैर - इस्राएलियों के बारे में यहोवा से यह बिनती की: ‘ तू अपने स्वर्गीय निवासस्थान में से सुन, और जिस बात के लिये ऐसा परदेशी तुझे पुकारे, उसी के अनुसार व्यवहार करना जिस से पृथ्वी के सब देशों के लोग तेरा नाम जानें । ’",44,55
"NMDC Ltd operates three iron ore complexes in the country, two of these are in Chhattisgarh while the third one in Karnataka.","एनएमडीसी लिमिटेड देश में तीन लौह अयस्क परिसरों का संचालन करती है और इनमें से दो छत्तीसगढ़ में, जबकि तीसरा कर्नाटक में है।",22,23
Police had a very difficult task controlling huge crowd at the spot.,भीड़ को संभालने के लिए पुलिस को काफी मशक्कत करनी पड़ी।,12,11
"""The police have arrested three in the case.",पुलिस ने मामले में तीन लोगों को गिरफ्तार कर लिया है।,8,11
He also said that India will have also economic benefits through the bilateral agreement with China.,उन्होंने यह भी कहा कि चीन के साथ बांग्लादेश के द्विपक्षीय समझौते से भारत को भी आर्थिक लाभ होगा।,16,19
Shalu-Kalu a funny boy girl pair.,शालू-कालू – एक मजेदार लड़के-लड़की की जोड़ी।,6,7
Sensex rallies 637 points on government stimulus boost. banking stocks soar,"आर्थिक पैकेज के ऐलान से बाजार में तेजी, सेंसेक्स 637 अंक बढ़कर बंद",11,13
This is based on a true story.,यह एक रियल स्टोरी पर बेस्ड है।,7,7
"Shah challenges Rahul, Mamata on CAA","CAA पर शाह ने ममता और राहुल को दी चुनौती, बताएं कहां लिखा .",6,14
I 'm coming with you.,मैं तुम्हारे साथ आ रहा हूँ.,5,6
It is helmed by Ali Abbas Zafar.,इसे अली अब्बास जफर डायरेक्ट कर रहे हैँ।,7,8
But that has not happened.,लेकिन अब तक के मैचों में तो ऐसा नहीं हो पाया.,5,11
He further informed that one of the alleged accused Vinay Dubey has been sent to police custody till 21st April.,उन्होंने यह भी बताया कि एक आरोपी विनय दुबे को 21 अप्रैल तक के लिए पुलिस हिरासत में भेज दिया गया है।,20,22
"Prompt fast checks allow rapid response when action is needed. < s > On the spot the process is controlled on the spot by the operator, not by a laboratory remote from the operation.","मौके पर प्रक्रिया पर संचालन का मौके पर नियंत्रण रहता है, किसी की प्रयोगशाला में नहंी।",34,16
"On the other hand, silver held steady at Rs 45,500 per kg in scattered deals from industrial units and coin makers.","दूसरी ओर औद्योगिक इकाइयों और सिक्का निर्माताओं की छिटपुट मांग से चांदी 45,500 रुपए प्रति किलो पर स्थिर बनी रही।",21,20
"""The accused fled from the spot after the crime.",हत्या के बाद आरोपी मौके से फरार हो गया.,9,9
"""The programme was a success from the start.",यह कार्यक्रम शुरुआत से ही सफल है।,8,7
"""The Burning Train",द बर्निंग ट्रेन,3,3
"Strengthening the cooperative movement through appropriate policy measures and also through organisations like the 'National Cooperative Development Cooperation (NCDC)', 'National Agricultural Cooperative Marketing Federation of India Ltd (NAFED)' and the 'National Cooperative Union of India (NCUI)'.","यथोचित नीतिगत उपायों द्वारा और 'राष्ट्रीय सहकारिता विकास सहयोग (एनसीडीसी)', 'भारतीय राष्ट्रीय कृषि सहकारी विपणन परिसंघ लि. (नाफेड)' और 'भारतीय राष्ट्रीय सहकारी संघ (एनसीयूआई)' के माध्यम से भी सहकारी आंदोलन को सुदृढ करना।",36,33
"On 19th of this month, Mahant Nritya Gopal Das was elected President and Champat Rai as General Secretary of the Trust at its first meeting in New Delhi.",नई दिल्ली में श्रीराम मंदिर न्यास की पहले बैठक में इस महीने की 19 तारीख को महंत नृत्य गोपाल दास को न्यास का अध्यक्ष और चंपत राय को महासचिव चुना गया था।,28,32
"""The Indian army too gave a befitting response.",जिसका भारतीय सेना ने भी मुंहतोड़ जवाब दिया।,8,8
"Joint Secretary (Films), Ministry of I&B","संयुक्‍त सचिव (फिल्म), सूचना एवं प्रसारण मंत्रालय",6,7
"However, the truth came to the fore later.",पर थोड़ी ही देर बाद सच्चाई सामने आ गई.,8,9
Lifestyle prevention of osteoporosis is in many aspects the inverse of the potentially modifiable risk factors.,"ऑस्टियोपोरोसिस का जीवन-शैली निवारण, संभावित परिवर्तनीय जोखिम कारकों के कई पहलुओं से उलटाव द्वारा संभव है।",16,16
"""The process might take decades and new forces might slowly replace it.",इस प्रक्रिया में दशकों लग सकते हैं और धीरे-धीरे नई ताकतें इसकी जगह ले सकती हैं.,12,16
Same holds true in cricket.,क्रिकेट भी ऐसा ही है.,5,5
Not to love.,लव मैरिज नहीं।,3,3
On 18 November 2013 India conveyed to Russia that they will not shelve their homegrown $10 billion Futuristic Infantry Combat Vehicle (FICV) programme in favour of Russian BMP-3 combat vehicles during the meeting of the India-Russia Inter-Governmental Commission on Military Technical Cooperation held in Moscow.,18 नवंबर 2013 को भारत ने रूस को अवगत करा दिया है कि वे रूसी बीएमपी-3 लड़ाकू वाहनों के पक्ष में उनके देसी $10 अरब फ्यूचरिस्टिक इंफेंट्री लड़ाकू वाहन कार्यक्रम टांड़ नहीं होगा।,45,33
"Financials led the markets higher, with ICICI Bank, IndusInd Bank and HDFC among top gainers.",बैंकिंग क्षेत्र में आईसीआईसीआई बैंक और एचडीएफसी ऊपर रहे।,15,9
"""The Lunar Roving Vehicle (LRV) is a battery-powered four-wheeled rover used on the Moon in the last three missions of the American Apollo program (15, 16, and 17) during 1971 and 1972.","इसी प्रकार चंद्र रावेिंग वाहन (एलआरवी) या चंद्रमा रोवर, 1971 और 1972 के दौरान अमेरिकी अपोलो कार्यक्रम (15, 16 और 17) के अंतिम तीन अभियानों में इस्तेमाल किया जाने वाला एक बैटरी चालित चार-पहिया रोवर है।",32,36
"""The nation honours them with a deep sense of gratitude and appreciation for dedication and courage in the face of adversity.",राष्ट्र विपदा के समक्ष निष्ठा और साहस के लिए आभार और सराहना की हार्दिक भावना के साथ उनका सम्मान करता है।,21,21
"""Theyre not bodies.",ये जीवत नहीं होते हैं।,3,5
"""The driver of the car fled from the spot.",चालक मौके से फरार हो गया।,9,6
"Further, the Oversight Committee constituted by the Hon'ble Supreme Court to oversee the functioning of MCI had also cited instances of non-compliance of their instructions and subsequently, all members of the Oversight Committee tendered their resignation.",साथ ही एमसीआई के कामकाज पर नजर रखने के लिए माननीय उच्चतम न्यायालय द्वारा गठित निगरानी समिति ने भी उनके निर्देशों का पालन नहीं करने के उदाहरण दिये तथा निगरानी समिति के सभी सदस्यों ने इस्तीफा दे दिया।,36,38
We are absolutely ready,"उन्होंने कहा, ‘हमने एक पूरा कार्यक्रम तैयार किया है",4,9
Prime Minister Narendra Modi arrives in Moscow on a two-day visit during which he will attend the 16th India-Russia annual summit,मालूम हो कि पीएम मोदी 16वीं इंडिया-रशिया एनुअल मीट में हिस्सा लेने के लिए मॉस्को पहुंचे हैं।,21,17
"But if they intend to betray you (O Muhammad SAW), they have already betrayed Allah before. So He gave (you) power over them. And Allah is All - Knower, All - Wise.",और अगर ये लोग तुमसे फरेब करना चाहते है तो ख़ुदा से पहले ही फरेब कर चुके हैं तो (उसकी सज़ा में) ख़ुदा ने उन पर तुम्हें क़ाबू दे दिया और ख़ुदा तो बड़ा वाक़िफकार हिकमत वाला है,32,38
"Nirmala Sitharaman has become the first woman Defence Minister after Indira Gandhi, who held the department for a short while when she was Prime Minister.",मोदी के नेतृत्व में इंदिरा गाँधी के बाद देश को निर्मला सीतारमन के रूप में पहली महिला पूर्णकालिक रक्षा मंत्री मिलीं जिन्होंने सशस्त्र सेनाओं के आधुनिकीकरण की प्रक्रिया तेज़ करने के साथ सैन्य क्षेत्र में महिलाओं की स्थिति को भी में संवारा।,25,42
This really has happened.,ऐसा सचमुच हुआ है.,4,4
"""The body of the girl was sent to the hospital and preserved for post mortem.",बच्ची के शव को कब्जे में लेकर पोस्टमॉर्टम के लिए भेजा गया है।,15,13
"""There was ongoing recruitment back then.","""""""वह बताते हैं, """"""""तब एक क़िस्म की भर्ती सी हो रही थी.""""""",6,12
"In international affairs, as in others, there has to be a spirit of compromise.",अन्य मामलों की तरह अंतर्राष्ट्रीय मामलों में भी हमें समझौते की भावना से काम लेना होता है।,14,17
"""When We sent him to them for a genuine purpose, they said, """"Kill the sons of those who have believed in him but keep their women alive."""" The plots of the unbelievers can only result in failure.""","""फिर जब वह उनके सामने हमारे पास से सत्य लेकर आया तो उन्होंने कहा, """"जो लोग ईमान लेकर उसके साथ है, उनके बेटों को मार डालो औऱ उनकी स्त्रियों को जीवित छोड़ दो।"""" किन्तु इनकार करनेवालों की चाल तो भटकने ही के लिए होती है""",37,45
"In the end, the police handed him over to the family.",आखिरकार पुलिस ने उसे परिजन को सौंप दिया है।,11,9
This is Indias first trade agreement with an African country.,यह भारत और किसी अरब देश के बीच हुई पहली संधि है।,10,12
"He had sustained serious injuries on his hands, legs and head.","इसमें उनके हाथ, पैर और सिर में गंभीर चोट आई है।",11,11
Will you punish him?,आपलोग सजा देंगे न?,4,4
"""The great tragedienne Rachel lived in No. 9.",महान त्रसदीकार रेशेल 8 नंबर में रहती थीं।,8,8
Six accused are absconding.,छह आरोपित हुए थे फरार,4,5
"""Thereafter He joined the Gointtingen University in Germany in 1904 and received a PhD from the University of Gttingen, Germany.",उसके बाद वह 1904 में जर्मनी में गोइन्टिंगेन विश्वविद्यालय में शामिल हो गए और जर्मनी के गौटिंगेन विश्वविद्यालय से पीएचडी उपाधि प्राप्त की।,20,23
"His songs included Moon River, Can't Take My Eyes off You, and Christmas song It's the Most Wonderful Time of the Year.","उनके गीतों में मून रिवर, कान्ट टेक माई आइज़ ऑफ़ यू और क्रिसमस गीत इट्स मोस्ट वंडरफुल टाइम ऑफ़ द ईयर शामिल थे।",22,23
"So when Omung, Sandip and Vivek called me for the role, I immediately agreed to do it.","""उन्होंने कहा, """"इसलिए जब उमंग, संदीप और विवेक ने मुझे भूमिका के लिए फोन किया, तो इसे करने के लिए मैं तुरंत तैयार हो गया।""",17,25
This is their life.,इनसे ही उनका जीवन चलता है.,4,6
This is the reason why the infrastructure related to medical education is being expanded and the policy is constantly being modified.,यही कारण है कि Medical education से जुड़े inrastructure को विस्तार दिया जा रहा है और पॉलिसी में निरंतर सुधार किया जा रहा है।,21,24
It opened in July 1906 with its first exhibition held by The Lake Artists Society.,वर्ष 1906 में उन्होंने अपनी सुप्रसिद्ध कलाकृति ‘एविगनन की महिलाएं’ बनानी शुरू की।,15,13
"He had two kids, Ranbir and Ridhima Kapoor.",इस सेलिब्रेशन में उनके साथ उनके बच्चे रषा और रणबीर मौजूद रहे।,8,12
Sania Mirza posts emotional message after husband Shoaib Malik's retirement,"पति शोएब मलिक के संन्यास के बाद पत्नी सानिया मिर्जा हुईं भावुक, लिखा इमोशनल पोस्ट",10,15
Bollywood actress Anushka Sharma and Indian cricket team captain Virat Kohli are major couple goals.,भारतीय क्रिकेट कप्तान विराट कोहली और बॉलीवुड एक्ट्रेस अनुष्का शर्मा अपने अफेयर के चलते खूब सुर्खियां बटोर रहे है।,15,19
UPs Deputy Chief Ministers Keshav Prasad Maurya and Dinesh Sharma also addressed the gathering on the occasion.,इस मौके पर योगी आदित्यनाथ के साथ दोनों उपमुख्यमंत्री दिनेश शर्मा और केशव प्रसाद मौर्य भी शामिल हुए। भारत के लिए खेल चुके आरपी सिंह और प्रवीण कुमार भी कार्यक्रम में शामिल हुए।,17,33
"To the already created list I have added this very important Richard Sennett, The Craftsman, 2009 publication.","पहले से ही बनाई गई सूची में मैंने इस बहुत महत्वपूर्ण रिचर्ड सेनेट(Richard Senette), द क्राफ्ट्समैन(The Craftsman), 2009 प्रकाशन को जोड़ा है।",17,22
"Agriculture Minister Narendra Singh Tomar has invited the leaders of farmer unions, for talks, at 3 pm on December 1 at Vigyan Bhavan.",कृषि मंत्री नरेंद्र तोमर ने विशेषज्ञों के साथ चर्चा में दी जानकारी।,23,12
What choice did they have?,उन्होंने अपने लिए क्या चुना है?,5,6
"Later, Shri Sharma will meet Mr. Armando Inroga, Minister of Industry and Trade, Mozambique, where the two Ministers will discuss trade and investment related issues.","बाद में, श्री शर्मा मोजांबिक के व्‍यापार मंत्री श्री इनरोगा से मुलाकात करेंगे।",25,13
"Samson touch corpses as Nazirite? 1 / 15 Shechinahs significance, 8 / 15","शादीशुदा जोड़ों के लिए बुद्धि - भरी हिदायतें, 3 / 1",13,11
"""There has been excellent response also to the new programme of providing self employment to the educated unemployed.",तालीमयाफ़ता बेरोजगारों को अपना रोजगार खुद चुनने के नए कार्यक्रम को भारी सफलता मिली है।,18,15
Shri R.K.Singh inaugurates International R&D Conclave- Emerging Opportunities and Challenges of R&D in Indian Power Sector,श्री आर. के. सिंह ने भारतीय विद्युत क्षेत्र में उभरते अवसरों और अनुसंधान एवं विकास की चुनौतियों पर आयोजित ‘अंतर्राष्‍ट्रीय आरएंडडी सम्‍मेलन’ का उद्घाटन किया,16,25
This would mean that Pakistans representative either Prime Minister Imran Khan or a Minister will be coming to India to attend the SCO heads of government meeting.,भारत की ओर से सभी एससीओ सदस्यों को न्यौता जाने का मतलब है कि पाकिस्तानी प्रतिनिधि भी (खुद पीएम इमरान खान या फिर उनका कोई मंत्री) इस इवेंट में हिस्सा लेने आएगा।,27,32
Iran used to supply 10 per cent of Indias oil needs.,ईरान भारत की तेल जरूरतों का 10 फीसदी हिस्सा पूरी करता है।,11,12
"Since then, the work is being done.",तभी से इसे लेकर काम चल रहा है।,7,8
"""The Economic Survey was presented by State Planning and Finance Minister Punnulal Mohle on the table of the House.","सदन में आर्थिक सर्वेक्षण की रिपोर्ट योजना, आर्थिक और सांख्यिकी विभाग के मंत्री पुन्नूलाल मोहले ने पटल पर रखा.",19,19
"""Following this, IAS officers in Delhi were not attending routine meetings called by the Ministers and the Chief Minister as """"they (the Ministers) have failed to give any assurance till date regarding safety, security, dignity and respect to the officers including women officers,"""" IAS Association secretary Manisha Saxena had said.""","आईएएस असोसिएशन की सचिव मनीषा सक्सेना ने कहा, 'इसके बाद, आईएएस अधिकारी दिल्ली में नियमित बैठकों में भाग नहीं ले रहे थे, क्योंकि मंत्री आईएएस अधिकारियों की सुरक्षा और सम्मान का आश्वासन नहीं दे पा रहे थे।",50,37
"He was the founder and leader of ISIS, the most ruthless and violent terror organisation anywhere in the world.",बगदादी दुनिया के सबसे खूंखार एवं हिंसक आतंकवादी संगठन आईएसआईएस का सरगना एवं संस्थापक था।,19,15
Case registered against five assailants,धोखाधड़ी के आरोप में महिला सहित पांच पर मामला दर्ज,5,10
Because you cannot always predict what challenges you will face in the future.,क्योंकि हममें से कोई नहीं जानता कि आगे चलकर हमें विश्‍वास की किन परीक्षाओं का सामना करना होगा ।,13,19
"""The driver of the bus also died in the accident.",इस हादसे में बस चालक की भी मौत हो गई है.,10,11
"Group C: England, Bangladesh, Canada, Namibia.","ग्रुप बी : बांग्‍लादेश, नामीबिया, स्‍कॉटलैंड, नीदरलैंड",6,7
He demanded an inquiry into the case.,उन्होंने इस मामले में जांच की मांग की।,7,8
"Yet, the pages of Gods Word, the Bible, continue to speak out with clarity, providing for us the full story in a way that archaeologists never can.",और भी ढेर सारे दिलचस्प सवाल उठे होंगे जिनका अध्ययन पुरातत्वविज्ञानी आगे के सालों तक करते रहेंगे ।,27,18
"""The film will see Bachchan reprising his role as Subhash Nagre.",इस फिल्म में बच्चन फिर से अपने पुराने किरदार सुभाष नागर की भूमिका में नजर आएंगे।,11,16
"""An official stated, """"It is correct that the Chinese have started consolidating their positions on the north bank of Pangong Tso lake.""",रिपोर्ट के अनुसार एक अधिकारी ने बताया कि “यह सही है कि चीनियों ने पैंगोंग त्सो झील के उत्तरी किनारे पर अपनी स्थिति को मजबूत करना शुरू कर दिया है''.,22,30
"Female employees too, worked till late hours as part of this mission.",हजारों महिला बैंक कर्मचारी भी देर रात तक रुककर इस अभियान में शामिल रही हैं।,12,15
"""The courts would be set-up in districts having 100 or more registered cases of child rape.",ये अदालतें उन जिलों में गठित की जाएंगी जहां यौन अपराधों से बच्चों को संरक्षण कानून (पॉक्सो) के तहत 100 या इससे अधिक मुकदमे लंबित हैं.,16,26
"""The Finance Minister suggested a twofold solution to the farm crisis",वित्त मंत्री ने कृषि संकट से उभरने के लिए दोतरफा हल सुझाए हैं।,11,13
"Retention is significantly higher when learning involves discussion, practice by doing and teaching others.","छात्र जब वाद विवाद, अभ्यास और अन्य को सिखाने के ज़रिए सीखते हैं तो वह ज्यादा याद रहता है।",14,19
"Bigg Boss 14: When press enters house, here's how housemates get grilled",बिग बॉस 14: बिग बॉस के घर से बेघर हुए छोटी बहू के पति तो फूट-फूटकर रोई टीवी की दोनों बहुएं,12,21
No group has claimed responsibility for the attack but the Taliban insurgent group is likely behind such attacks.,हमले की जिम्मेदारी किसी समूह ने नहीं ली है लेकिन इस प्रकार के हमले के पीछे तालिबान पर संदेह जाता रहा है।,18,22
Chief Minister Uddhav Thackeray,मुख्यमंत्री उद्धव ठाकरे भी रहेंगे उपस्थित,4,6
"But growth rates are not uniform across the primary, secondary and tertiary education sectors.","लेकिन वृद्घि दर प्राथमिक, द्वितीयक और तृतीयक शिक्षा क्षेत्रों में एक समान नहीं है।",14,14
Kareena Kapoor Khan has always been a trendsetter in Bollywood.,करीना कपूर खान हमेशा से बॉलीवुड की स्टाइलिश ट्रेंड क्वीन रही हैं.,10,12
"""The idea of celebrating Women's Day came about in 1909 after the Socialist Party of America organised a Women's Day on February 28, 1909, in New York.","28 फरवरी, 1909 को पहली बार अमेरिका में महिला दिवस सेलिब्रेट किया गया।",27,13
"""The jet showed unstable vertical speed after takeoff, air traffic monitor Flightradar 24 said.",विमान की दृश्यता सही बताई जा रही है लेकिन ट्रैफिक मॉनिटर फ्लाइटराडर24 ने रिपोर्ट किया है कि ''​उड़ने के बाद विमान की वर्टिकल स्पीड अस्थिर थी.,14,26
Becoming adept at using technology:-Institutes must be equipped with knowledge networks and world-class laboratory equipments.,उन्होंने इन क्षमताओं को तीन महत्वपूर्ण हिस्सों में बांटा (1)प्रौद्योगिकी का प्रयोग करते हुए कुशल बननाः संस्थानों को ज्ञान नेटवर्क और विश्व स्तरीय प्रयोगशाला उपकरणों से सुसज्जित होना चाहिए।,15,29
"All of them use different colors to distinguish between lines, all of them use simple symbols to distinguish between types of stations.","वे सभी अलग-अलग रंगों का उपयोग करते हैं लाइनों के बीच अंतर करने के लिए, वे सभी सरल प्रतीकों का उपयोग करते हैं स्टेशनों के प्रकारों के बीच अंतर करने के लिए।",22,32
"If rings in very sensitive areas, such as the breast, get caught or pulled by clothing, the piercings can easily tear.",छिदवाई गई जगह पर भद्दा दाग भी बन सकता है या फिर इन अंगों में गहनों से एलर्जी भी हो सकती है ।,21,23
' It is not possible to define with any precision the limitations the exercise of the discretionary on jurisdiction vested in this Court by the constitutional provision made in Article,"""""""\"""" अनुच्छेद 136 में किए गए सांविधानिक उपबंध द्वारा न्यायालय में निहित वैवेकिक अधिकारिता के प्रयोग पर प्रतिबंधों को किसी भी निश्चितता के साथ परिभावित करना संभव नहीं है|जो भी प्रतिबंध है, वे स्वयं शक्ति की प्रकृति और स्वरूप में विवक्षित हैं ।""""""",30,43
Everyone has to do their own thing.,सबको अपने अपने हिस्से का काम करना होगा.,7,8
"Generally, major ports in India are named after the city or the town in which they are situated.",आमतौर से भारत में प्रमुख बंदरगाहों के नाम शहर अथवा उस कस्‍बे के नाम पर हैं जहां वे स्थित हैं।,18,20
India did not participate in the survey.,बातचीत की प्रकिया में भारत को शामिल नहीं किया गया है.,7,11
Whats happening in the trial?,महाभियोग जांचमें क्या हो रहा है?,5,6
Fear spread in the village.,इससे गांव में दहशत फैल गयी।,5,6
"""The BJPs stand is very clear on Ram temple issue.","जावड़ेकर ने कहा, 'राम मंदिर पर बीजेपी का मत एकदम स्पष्ट है।",10,12
A complaint was lodged by the victim with the Kotwali police.,पीडि़त ने कोतवाली में शिकायत दी है।,11,7
We propose that a mechanism for an independent monitoring and assessment of external effects of such policies must be put in place.,हमारा प्रस्‍ताव है ऐसी नीतियों के बाहरी प्रभाव की स्‍वतंत्र निगरानी और मूल्‍यांकन के लिए एक तंत्र की स्‍थापना की जानी चाहिए।,22,22
"""The number of COVID-19 cases has gone up to 27,109 in West Bengal, 25,422 in Andhra Pradesh, 23,174 in Rajasthan, 19,934 in Haryana and 16,657 in Madhya Pradesh","""वहीं, पश्चिम बंगाल में कोविड-19 के मामले बढ़कर 28,453, आंध्र प्रदेश में 27,235, राजस्थान में 23,748, हरियाणा में 20,582 और मध्य प्रदेश में 17,201 हो गए हैं",28,27
Triple talaq should be banned.,ट्रिपल तलाक बंद होना चाहिए।,5,5
After the preliminary investigation the police registered a case against the unidentified miscreants.,पुलिस ने सुचना मिलने पर जांच के बाद अज्ञात चोरो के खिलाफ मामला दर्ज कर लिया।,13,16
